1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfEpoch,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.0005,0.0001,8192,dot,2,128,4,50,2,-0.3978208899497986,0.9821071752951862,0.9050657529692547,0.8894184487254058,0.989024606124978,0.6622430081421371,0.9072618637862797
0.001,0.0001,8192,dot,2,64,2,50,2,-0.3877522349357605,0.9791099000908264,0.9022341666979132,0.8989675795968946,0.9913258983890955,0.6646684813999609,0.9123562924264366
0.001,0.0001,8192,dot,2,128,2,50,2,-0.3799835741519928,0.9790076335877863,0.9059363347636032,0.8904036955550497,0.9919454770755887,0.6609079837850486,0.9112948268897336
0.001,0.0001,8192,dot,2,64,3,50,2,-0.3920651078224182,0.9833333333333333,0.903284070987865,0.8929701192181277,0.9906178084616746,0.667066920589343,0.9104522046689936
0.001,0.0001,8192,dot,2,128,3,50,2,-0.37523627281188965,0.9831887201735358,0.9098155585982051,0.9061578534759629,0.994069746857851,0.6736727611007285,0.9147370944468586
0.001,0.0001,8192,dot,2,64,4,50,2,-0.39812421798706055,0.9846216657593904,0.9050345588585018,0.8989606251422502,0.9912373871481678,0.6691195806356532,0.9089958780209828
0.001,0.0001,8192,dot,2,128,4,50,2,-0.4000883996486664,0.9821428571428571,0.9018941702663122,0.9033299193283261,0.9914586652504869,0.6732232722392638,0.9111353874577729
0.0001,0.0005,8192,dot,2,64,2,50,2,-0.448784420769366,0.9669129931561997,0.8761557117780404,0.8627384177076917,0.9808230461595154,0.6348722637779411,0.8857209727949021
0.0001,0.0005,8192,dot,2,128,2,50,2,-0.46219655871391296,0.9685024416711883,0.8722963119497149,0.8578066914498141,0.9811028500619577,0.6216519600250602,0.8751463025463448
0.0001,0.0005,8192,dot,2,64,3,50,2,-0.4537860773227833,0.970854278092787,0.8823089302596959,0.8780152721337001,0.9861361892960406,0.6419180976733317,0.8835429683495574
0.0001,0.0005,8192,dot,2,128,3,50,2,-0.45289525389671326,0.9685124864277959,0.8823341178949841,0.8814727006044053,0.9879624712338466,0.6455018965581537,0.8862501591768885
0.0001,0.0005,8192,dot,2,64,4,50,2,-0.4863516092300415,0.9716282894736842,0.8819438425339811,0.8570665688828194,0.9785094707027793,0.6330643491476525,0.8820909709120243
0.0001,0.0005,8192,dot,2,128,4,50,2,-0.47783905267715454,0.971376811594203,0.8753009903151501,0.8808084448153487,0.986147990794831,0.6428190457912378,0.8872233611846866
0.0005,0.0005,8192,dot,2,64,2,50,2,-0.3888958692550659,0.9835782979495555,0.9031107053261883,0.8993517281090303,0.989467162329616,0.6557989044981798,0.9057718092894704
0.0005,0.0005,8192,dot,2,128,2,50,2,-0.3798770308494568,0.9776268115942031,0.9055939824264468,0.9008494971718551,0.9928305894848646,0.660651772976122,0.9096659580907663
0.0005,0.0005,8192,dot,2,64,3,50,2,-0.4036087989807129,0.9787608225108225,0.9003846087010946,0.8976866954960423,0.9921224995574437,0.669089469413508,0.9055514583264382
0.0005,0.0005,8192,dot,2,128,3,50,2,-0.38417407870292664,0.9795871976723042,0.9067365633709769,0.9040595048428294,0.9918569658346611,0.6688629957921484,0.9106101479626413
0.0005,0.0005,8192,dot,2,64,4,50,2,-0.4037339687347412,0.9805328983143011,0.9039069465446175,0.9015103811041145,0.9932731456895026,0.6678970169674945,0.9063591039983264
0.0005,0.0005,8192,dot,2,128,4,50,2,-0.3989001214504242,0.9841915085817525,0.9047656824239546,0.9067451887818325,0.9936271906532129,0.6774081120832246,0.9072043588470595
0.001,0.0005,8192,dot,2,64,2,50,2,-0.38271328806877136,0.9813304332064529,0.9055270068038049,0.8952305085603014,0.9911488759072402,0.663244307339736,0.9098033899035792
0.001,0.0005,8192,dot,2,128,2,50,2,-0.38844627141952515,0.9785181139632259,0.9024654091590891,0.8990813797638014,0.993184634448575,0.6648492825221247,0.9105804021435071
0.001,0.0005,8192,dot,2,64,3,50,2,-0.39402443170547485,0.9752898550724638,0.9015476389979042,0.8994293323953442,0.9907063197026023,0.6708568029361623,0.9118071406129971
0.001,0.0005,8192,dot,2,128,3,50,2,-0.3840671479701996,0.9830707948578672,0.905834295321287,0.9077961543973228,0.994069746857851,0.6720777755187687,0.912420826338539
0.001,0.0005,8192,dot,2,64,4,50,2,-0.40082937479019165,0.9775571273122959,0.9028106058176225,0.9047935159193788,0.9932288900690388,0.6802792043832226,0.9124327335854789
0.001,0.0005,8192,dot,2,128,4,50,2,-0.3768269717693329,0.9848154209856337,0.9136854994386893,0.8969735477834256,0.9897326960523987,0.6704426732896951,0.9115982581255725
0.0001,0.001,8192,dot,2,64,2,50,2,-0.4368414544396931,0.9712161565035753,0.8838921388278396,0.8708559794486508,0.9846795893078422,0.6372789962387341,0.8875958627966245
0.0001,0.001,8192,dot,2,128,2,50,2,-0.42755900599338387,0.9726505829342709,0.8877299508795776,0.8767788671665464,0.9860565291792058,0.6437681580540692,0.8897678565610998
0.0001,0.001,8192,dot,2,64,3,50,2,-0.44166320089309935,0.973515675288725,0.8882637556726655,0.8781310107252753,0.9868985299908599,0.646674540790545,0.8898788805051193
0.0001,0.001,8192,dot,2,128,3,50,2,-0.44525807102521264,0.9701073405096394,0.8850436644399272,0.8782907052822082,0.9864799079483094,0.6475977158790128,0.8895573873039065
0.0001,0.001,8192,dot,2,64,4,50,2,-0.4731141847592813,0.9710880374097514,0.8815236707266476,0.8731694285730399,0.9825632855372634,0.6396920035474553,0.8855749001667904
0.0001,0.001,8192,dot,2,128,4,50,2,-0.5036900639533997,0.965742251223491,0.869463435218232,0.8637068086218378,0.9836254204283944,0.6289108908048084,0.8767490435914255
0.0005,0.001,8192,dot,2,64,2,50,2,-0.38928747177124023,0.9809056192034915,0.9036728283852771,0.8898663058779894,0.9915029208709506,0.6631363897323377,0.9064593582126538
0.0005,0.001,8192,dot,2,128,2,50,2,-0.3868372440338135,0.9835886214442013,0.9036150584261167,0.8904827426070123,0.9899539741547176,0.6631971861758466,0.9111112679818526
0.0005,0.001,8192,dot,2,64,3,50,2,-0.3865651488304138,0.9820039790197141,0.9047503666001925,0.9015988923450421,0.9921224995574438,0.6763473586508152,0.9116514688601152
0.0005,0.001,8192,dot,2,128,3,50,2,-0.3944989939530691,0.9796296296296296,0.9016411014438284,0.8966607918546314,0.9917463267835015,0.6652059698082338,0.9101377696235811
0.0005,0.001,8192,dot,2,64,4,50,2,-0.39357784390449524,0.9804826958105647,0.9054755293288543,0.9103216751384569,0.9928305894848646,0.6821390726219466,0.9119433093398112
0.0005,0.001,8192,dot,2,128,4,50,2,-0.38609617120689815,0.9831264507013826,0.9091717376193683,0.9048595832384998,0.992719950433705,0.673377973660134,0.9125518700723336
0.001,0.001,8192,dot,2,64,2,50,2,-0.3918110728263855,0.978551912568306,0.9003077293622432,0.8908719621677668,0.989467162329616,0.6626053527012428,0.9074109813024747
0.001,0.001,8192,dot,2,128,2,50,2,-0.3967602252960205,0.9805737109658678,0.8983698194314308,0.8962966666896566,0.990308019118428,0.6591415911032181,0.9078594027267967
0.001,0.001,8192,dot,2,64,3,50,2,-0.38326042890548706,0.9834789732386674,0.9067054547970667,0.8930463883198879,0.9913258983890954,0.6661320772661412,0.9109454253656308
0.001,0.001,8192,dot,2,128,3,50,2,-0.3859215974807739,0.9822791712104689,0.9049239116879013,0.9001782869281542,0.9915914321118782,0.6659404392113696,0.9110223355064905
0.001,0.001,8192,dot,2,64,4,50,2,-0.3786677122116089,0.9810893955845095,0.9092657343955336,0.9100725792175606,0.9938927243759957,0.6840025157680822,0.9162586354621857
0.001,0.001,8192,dot,2,128,4,50,2,-0.4166114926338196,0.9768241897519464,0.8980114904020047,0.9102502339225653,0.9926535670030093,0.6774614033790612,0.9106077483869621
0.0001,0.0001,8192,dot,3,64,2,50,2,-0.44702272878752813,0.9728618088498328,0.8783335193910741,0.8676143998209851,0.981359532660648,0.6373589992139777,0.8836846921132497
0.0001,0.0001,8192,dot,3,128,2,50,2,-0.42798451479110455,0.9696006285042502,0.8868314635193796,0.8745678592664785,0.9852628783855549,0.64780574527988,0.8887655287684106
0.0001,0.0001,8192,dot,3,64,3,50,2,-0.44887071067378637,0.9709520803270804,0.8820315480489798,0.8699483756639891,0.9841232961586122,0.640718571897771,0.8859826575587789
0.0001,0.0001,8192,dot,3,128,3,50,2,-0.43437733087274766,0.9727305540516155,0.8860893413673849,0.879868743842456,0.9877633209417596,0.6493774047708036,0.8895093087553563
0.0001,0.0001,8192,dot,3,64,4,50,2,-0.4708098557260302,0.9693218939439712,0.8827934868524338,0.8615881905313664,0.9811453354576031,0.6404816484695919,0.8841106129120782
0.0001,0.0001,8192,dot,3,128,4,50,2,-0.4985273778438568,0.9677111716621254,0.8711788654485919,0.8716018005715297,0.9838024429102497,0.6388090268319718,0.878735311061498
0.0005,0.0001,8192,dot,3,64,2,50,2,-0.3896550238132477,0.9776146456407468,0.9014396498101471,0.8800828825390694,0.9872986369268898,0.6468250410015985,0.9038999604354856
0.0005,0.0001,8192,dot,3,128,2,50,2,-0.3910254240036011,0.9833605368153788,0.8995691049458363,0.9000199879780336,0.9899097185342538,0.6555157617610232,0.9078153184359637
0.0005,0.0001,8192,dot,3,64,3,50,2,-0.381106158097585,0.984205267938238,0.9080352033043312,0.8957217459474496,0.9928158376113766,0.6698342259663749,0.9101907453876833
0.0005,0.0001,8192,dot,3,128,3,50,2,-0.3859178125858307,0.9762293594628924,0.90514388231578,0.9016570568747945,0.9933616569304302,0.6697169009098015,0.9106851519657464
0.0005,0.0001,8192,dot,3,64,4,50,2,-0.4129171669483185,0.979527417027417,0.898090328316679,0.892135776243583,0.9903522747388919,0.6675804067671498,0.9037643110412974
0.0005,0.0001,8192,dot,3,128,4,50,2,-0.40002116560935974,0.9813757476889614,0.9019029706790124,0.8996126579504168,0.9919897326960524,0.6754312702845244,0.9092300452458983
0.001,0.0001,8192,dot,3,64,2,50,2,-0.38214436173439026,0.9800163132137031,0.9046402758164015,0.9005679471292856,0.9927420782439369,0.6667932812076636,0.9105577946304396
0.001,0.0001,8192,dot,3,128,2,50,2,-0.3883218765258789,0.9790310918293564,0.9012416372187647,0.8957577826669701,0.9889234504210607,0.6590407787142123,0.909768872266383
0.001,0.0001,8192,dot,3,64,3,50,2,-0.3873388171195984,0.9818405243036592,0.9037182246282933,0.9017601092481602,0.9925650557620818,0.6732309054218496,0.9108967605898087
0.001,0.0001,8192,dot,3,128,3,50,2,-0.3931467831134796,0.9835776330076005,0.9013403227484806,0.9005772197354778,0.9910603646663125,0.6679778544714261,0.910918759577389
0.001,0.0001,8192,dot,3,64,4,50,2,-0.39112862944602966,0.9858711303095753,0.9049795224638841,0.9142458842272968,0.9930076119667198,0.6766469416462814,0.9086732875831691
