1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.001,0.0005,8192,dot,1,64,2,2,-0.4100397527217865,0.96984213391399,0.8988656467721043,0.8667604655921172,0.9849265356700302,0.6142696755185872,0.9010496241773924
0.001,0.0005,8192,dot,1,128,2,2,-0.43852949142456055,0.9620014437827107,0.8736494341267089,0.8312450678488914,0.9799079483094353,0.6011330560427028,0.8868473801880139
0.001,0.0005,8192,dot,1,64,3,2,-0.3831081986427307,0.9758926953054196,0.9121440441398899,0.876755440523364,0.987254381306426,0.6560934480970012,0.9184319101512319
0.001,0.0005,8192,dot,1,128,3,2,-0.3853088915348053,0.9717941761620547,0.9057795402939858,0.8691352549026474,0.9897061426801204,0.6195964904036293,0.909602593756018
0.001,0.0005,8192,dot,1,64,4,2,-0.39806029200553894,0.9774173027989824,0.8974301844146451,0.8847452659454783,0.9916799433528058,0.631195242254845,0.9176611701834632
0.001,0.0005,8192,dot,1,128,4,2,-0.41423654556274414,0.9615557959257257,0.8935865858564415,0.8152739173849104,0.9744299646184935,0.6122343289574672,0.8955064015169301
0.0001,0.001,8192,dot,1,64,2,2,-0.4719697833061218,0.954378837125316,0.8682073761914173,0.7999494413063186,0.9649236274435423,0.592141464745706,0.8702244721623311
0.0001,0.001,8192,dot,1,128,2,2,-0.4674549400806427,0.9554036814288318,0.8701326079819578,0.7883628468068191,0.96534236990955,0.5918276353485913,0.8737864235915301
0.0001,0.001,8192,dot,1,64,3,2,-0.4203035715553496,0.9643029308189952,0.8842656944464392,0.8304109805636624,0.9794571732038541,0.6170673390764922,0.8927272713723783
0.0001,0.001,8192,dot,1,128,3,2,-0.40384048223495483,0.9644087776568734,0.8902979849255794,0.8241479798304014,0.977376526818906,0.6173108470957032,0.8865779357479892
0.0001,0.001,8192,dot,1,64,4,2,-0.4941577911376953,0.9610460896389039,0.8666119397455161,0.8002672255460358,0.9727842686021124,0.5991774637238321,0.8710739708649333
0.0001,0.001,8192,dot,1,128,4,2,-0.4328392446041107,0.9720622849900418,0.8877225836196113,0.8215706300544325,0.9797043724553018,0.615524237844917,0.8910887438497243
0.0005,0.001,8192,dot,1,64,2,2,-0.41590285301208496,0.9740310077519378,0.9006016116912505,0.8627906848565373,0.9819348557266772,0.6276697232321643,0.9033663080395318
0.0005,0.001,8192,dot,1,128,2,2,-0.5187148451805115,0.9523602033405956,0.8572655708467104,0.8084793768808639,0.9583579900361632,0.6029097792718662,0.85563991736034
0.0005,0.001,8192,dot,1,64,3,2,-0.40968871116638184,0.9721464921846602,0.8923051351393149,0.8612548040853937,0.981391143818122,0.6197146364181488,0.9051885527154653
0.0005,0.001,8192,dot,1,128,3,2,-0.37463435530662537,0.9812033497178227,0.91881593438452,0.8707401378936164,0.9911931315277039,0.6191842122283245,0.9175579524644002
0.0005,0.001,8192,dot,1,64,4,2,-0.39078280329704285,0.9796869344914948,0.9045463790768882,0.8689215826363994,0.9859444149406974,0.6209288346591052,0.9106770267838307
0.0005,0.001,8192,dot,1,128,4,2,-0.4350881278514862,0.9813054499366287,0.8914947548684129,0.8931066278384387,0.9883784740662065,0.6739669695070238,0.8869536894467258
0.001,0.001,8192,dot,1,64,2,2,-0.41196951270103455,0.9705661894387385,0.8919825984479508,0.8740837170736268,0.990414232607541,0.6207247527616332,0.9032513686522237
0.001,0.001,8192,dot,1,128,2,2,-0.4830608069896698,0.9497136087896066,0.8466316610495321,0.8040512726784633,0.9722685852531843,0.5821214970248325,0.8638750697578085
0.001,0.001,8192,dot,1,64,3,2,-0.4083949625492096,0.9724417701863355,0.888455518612465,0.8637325190299168,0.9881837493361657,0.6228329209779535,0.8973197038892538
0.001,0.001,8192,dot,1,128,3,2,-0.3953017592430115,0.9764296055012668,0.8988801521425037,0.8497995528399139,0.9824629727975452,0.6320167833113159,0.9030921565181989
0.001,0.001,8192,dot,1,64,4,2,-0.37362605333328247,0.9809901531728665,0.9098945360922752,0.881795734212091,0.9886263055408038,0.6658066873233688,0.9269054290310548
0.001,0.001,8192,dot,1,128,4,2,-0.4438267648220062,0.95539829432045,0.875526220371125,0.8055555555555557,0.9783147459727386,0.6092781294049675,0.8861021148522144
0.0001,0.0001,8192,dot,2,64,2,2,-0.4476792812347412,0.9615523140644697,0.8688316934276444,0.798875945556774,0.9646574614976103,0.61271508854827,0.8741632864466508
0.0001,0.0001,8192,dot,2,128,2,2,-0.4246079088361175,0.9683615195093864,0.8794781807716602,0.8530612836839602,0.9843159134781545,0.6107560160294608,0.88196878076851
0.0001,0.0001,8192,dot,2,64,3,2,-0.422008752822876,0.97079028457495,0.8837870674615875,0.8611775137000841,0.9843335103558152,0.6284535486557946,0.8911679571804295
0.0001,0.0001,8192,dot,2,128,3,2,-0.4237539768218994,0.9733916529979953,0.8797698997312531,0.8473229240223398,0.9839794653921048,0.6194205963274138,0.8858154418040765
0.0001,0.0001,8192,dot,2,64,4,2,-0.42421895265579224,0.9736889856650335,0.8873345353949211,0.8583167039486742,0.9851301115241635,0.6291371112335304,0.8984966065669728
0.0001,0.0001,8192,dot,2,128,4,2,-0.4309394955635071,0.9702831890331891,0.8858929281499254,0.8653211042217946,0.9821384315808107,0.6277068562342194,0.9053941134881158
0.0005,0.0001,8192,dot,2,64,2,2,-0.41698486275143093,0.9720446818355563,0.8840319524043373,0.8755629785037644,0.9897769516728624,0.6208374486607691,0.8909406031392164
0.0005,0.0001,8192,dot,2,128,2,2,-0.4037696123123169,0.9722373434948285,0.8922131165570567,0.8759253315280932,0.988466985307134,0.6298903420672527,0.8968397211394985
0.0005,0.0001,8192,dot,2,64,3,2,-0.40148016810417175,0.978122730573711,0.8913515446409308,0.887269152338191,0.9915471764914144,0.6420744263843831,0.8957504058512544
0.0005,0.0001,8192,dot,2,128,3,2,-0.4068881571292877,0.9762281659388645,0.8870914058495684,0.8837282620607103,0.9893963533368738,0.6316026666121995,0.893046576060281
0.0005,0.0001,8192,dot,2,64,4,2,-0.4111309051513672,0.9769300635785649,0.890475855332885,0.885002843088345,0.9909718534253851,0.6380179408217393,0.8970386557457355
0.0005,0.0001,8192,dot,2,128,4,2,-0.40589967370033264,0.9725085910652921,0.8892155139792361,0.877206669532745,0.9887514857244012,0.6360660658311389,0.8925574035686563
0.001,0.0001,8192,dot,2,64,2,2,-0.40352126955986023,0.9736307580703664,0.8942935262411009,0.8860440821938432,0.990237210125686,0.6318781013598548,0.8994753931987434
0.001,0.0001,8192,dot,2,128,2,2,-0.40101298689842224,0.9790086673889492,0.8952576939639769,0.8823399000244458,0.9911046202867764,0.6326677401439882,0.8981218900948937
0.001,0.0001,8192,dot,2,64,3,2,-0.3946598768234253,0.9808641975308642,0.8926408764096284,0.8860986449674714,0.9892901398477607,0.6383894190175274,0.900006965387004
0.001,0.0001,8192,dot,2,128,3,2,-0.39287900924682617,0.9726801310043667,0.8953709708965987,0.8900142460949684,0.9888033280226588,0.6395888472084256,0.8980140818206798
0.001,0.0001,8192,dot,2,64,4,2,-0.40420424938201904,0.9745652173913044,0.8890455175170933,0.8901373188680677,0.9919012214551248,0.6468425932934811,0.9039731992830999
0.001,0.0001,8192,dot,2,128,4,2,-0.40124011039733887,0.978575297941495,0.8960998409365271,0.89088018106871,0.9912550893963533,0.646694103004502,0.9028519515120332
0.0001,0.0005,8192,dot,2,64,2,2,-0.43885770440101624,0.96809186637618,0.8722215791926144,0.83449558938141,0.9797220747034873,0.6131666475472659,0.8774710928886708
0.0001,0.0005,8192,dot,2,128,2,2,-0.42746065225866103,0.9703578685382053,0.8769855089661271,0.8553401619917818,0.9851323243051867,0.6127549462483683,0.8835207224032491
0.0001,0.0005,8192,dot,2,64,3,2,-0.43669649958610535,0.9678273485672834,0.873241992555261,0.8469071643527298,0.9835103558151885,0.6149229988392644,0.8782793470860458
0.0001,0.0005,8192,dot,2,128,3,2,-0.4236774659819073,0.9734449905940894,0.8793044271289275,0.8614123425992783,0.9857212401689299,0.616947608450096,0.8883651269102633
0.0001,0.0005,8192,dot,2,64,4,2,-0.4298882881800334,0.9739019500637872,0.8793551112131609,0.8621515455689645,0.985117467061174,0.6224445738226854,0.8861813368144866
0.0001,0.0005,8192,dot,2,128,4,2,-0.43512457609176636,0.9698822463768116,0.880714315690964,0.8650599444810809,0.978553726323243,0.6310975329142445,0.8860603351898213
0.0005,0.0005,8192,dot,2,64,2,2,-0.4057152271270752,0.9752399058482709,0.8910378249671388,0.8654032932312273,0.9916799433528058,0.6320291883119638,0.8993475539342685
0.0005,0.0005,8192,dot,2,128,2,2,-0.406704843044281,0.9736261749819234,0.8934559650619507,0.8821284943297689,0.9904723971372936,0.6244585270445228,0.900905458303576
0.0005,0.0005,8192,dot,2,64,3,2,-0.3927542567253113,0.9778321551567881,0.8956772292372649,0.8834903029937549,0.9900424853956452,0.6340272623273591,0.8982342630295572
0.0005,0.0005,8192,dot,2,128,3,2,-0.4045308530330658,0.9735816566974804,0.886228069954326,0.8837290726032097,0.9906089573375818,0.6225250603095511,0.898536744793005
0.0005,0.0005,8192,dot,2,64,4,2,-0.38918593525886536,0.9739810771470161,0.8989395946289018,0.8945245260433788,0.9920339883165162,0.6496358993485495,0.901783659844277
0.0005,0.0005,8192,dot,2,128,4,2,-0.41518640518188477,0.9711074859525104,0.8852185235632868,0.8768639721640252,0.9878739599929192,0.633688458929172,0.8876497879372117
