1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfEpoch,1_numOfHeads,2_valLossNeg_mean,2_valLossNeg_std,2_valMRRRandom_mean,2_valMRRRandom_std,2_valRocAucRandom_mean,2_valRocAucRandom_std,3_testMRR2hop_mean,3_testMRR2hop_std,3_testMRRRandom_mean,3_testMRRRandom_std,3_testRocAuc2hop_mean,3_testRocAuc2hop_std,3_testRocAucRandom_mean,3_testRocAucRandom_std
0.0005,0.0002,8192,dot,2,64,3,40,2,-0.4055631707111994,0.004531269272168487,0.9669152576489533,0.001602254428341332,0.893083565852189,0.0026204851591229428,0.8499854618149891,0.008017659451541537,0.9834085678881218,0.0027305717826163756,0.6196446969870931,0.002139301559880402,0.8980102335803071,0.0017122612467874165
0.0005,0.0002,8192,dot,2,64,3,40,2,-0.5302531123161316,0.05083829164505005,0.9540730263502539,0.0036604850961286517,0.8768951845638151,0.003109909401971589,0.8083700685931169,0.008718858294004317,0.9702096451963684,0.002431530232911039,0.5896902802071124,0.0031475952040929678,0.8799204007806977,0.0018670310008979119
0.0005,0.0002,8192,dot,2,64,3,40,2,-0.5500884354114532,0.04118141531944275,0.9584724714571792,0.004307430235884535,0.8816971924740462,0.001254564840056982,0.7838330733112995,0.009008231545406198,0.9666474892311323,0.004595208591491151,0.5870200013178102,0.0031776129175937196,0.8736632921276606,0.006014617720160431
0.0005,0.0002,8192,dot,2,64,3,40,2,-0.4359876811504364,0.0034211277961730957,0.9695439739413682,0.004343105320304019,0.8951136027220012,0.001945778184196112,0.8605614822423107,0.002643973421987189,0.9849796424145867,0.0013896264825633553,0.6295256490025739,0.0012829033579038196,0.9015456422210968,0.0025448183408856573
0.0005,0.0002,8192,dot,2,64,3,40,2,-0.4214299706712602,0.001638556993196899,0.9734208174186447,0.00056833041623916,0.9079009222620569,0.0011670806493155328,0.870491478928813,0.005298556845290847,0.9866436537440255,0.0006992388033278951,0.6346622975150503,0.0009829607138046592,0.9065024232592609,0.0017253805096204555
0.0005,0.0002,8192,dot,2,64,3,40,2,-0.49921852350234985,0.01646655797958374,0.9649348887683127,0.0027355760535358598,0.8806922093905702,0.002192736313905763,0.825917164207127,0.012572389550615792,0.9770667374756594,0.0020092051690564494,0.6100827504318524,0.010011790030257373,0.8847059092275795,0.0024226500160551834
