1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfEpoch,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.0001,0.0001,8192,dot,1,64,2,50,2,-0.4297761619091034,0.9594191096634094,0.8863491614075322,0.7810281828869189,0.9712433300457729,0.5989769898214459,0.8943141130706933
0.0001,0.0001,8192,dot,1,128,2,50,2,-0.4361684024333954,0.9603951422874752,0.8829120121911329,0.823435477604357,0.9754115772703134,0.6133626805083322,0.8917688940812305
0.0001,0.0001,8192,dot,1,64,3,50,2,-0.43299874663352966,0.9619358346927678,0.8832188465839297,0.8233665652810634,0.9734554788458134,0.6095393004878398,0.8895156853256185
0.0001,0.0001,8192,dot,1,128,3,50,2,-0.43654245138168335,0.9547852983988354,0.8822880782582132,0.7974586736801288,0.9689945123030625,0.5872605825164459,0.8848726013338722
0.0001,0.0001,8192,dot,1,64,4,50,2,-0.4002896249294281,0.9756830601092896,0.9031884962153062,0.846724840922929,0.9825544344131705,0.6109333590101357,0.9017956778629956
0.0001,0.0001,8192,dot,1,128,4,50,2,-0.4158080220222473,0.9750272628135223,0.8926017657038585,0.8502623593436127,0.9822092405735529,0.6218101881604252,0.9023735929355041
0.0005,0.0001,8192,dot,1,64,2,50,2,-0.42343103885650635,0.9633764123200744,0.8925278231524892,0.8315148163926709,0.9753673216498496,0.6080121619011893,0.8935577461008917
0.0005,0.0001,8192,dot,1,128,2,50,2,-0.49250420928001404,0.952797392721347,0.8506971108899606,0.8398077066027146,0.9780100144146878,0.6094207344037169,0.8892207202185993
0.0005,0.0001,8192,dot,1,64,3,50,2,-0.44821667671203613,0.9642908959013421,0.8759079819907496,0.8527661870200373,0.9787307488050981,0.6233937340386677,0.8836103367724193
0.0005,0.0001,8192,dot,1,128,3,50,2,-0.4099215865135193,0.9731314784506274,0.9005079212071818,0.8583001821451105,0.9812356169233492,0.6230091056502645,0.8971638925927024
0.0005,0.0001,8192,dot,1,64,4,50,2,-0.4151034355163574,0.9716059452601051,0.9030645826291088,0.8494103141208823,0.9764471587891661,0.6287038770516806,0.8993396287169928
0.0005,0.0001,8192,dot,1,128,4,50,2,-0.3999027609825134,0.9790533188248096,0.9037990869810165,0.8711849223532707,0.9849265356700302,0.6296222398359261,0.910716992378519
0.001,0.0001,8192,dot,1,64,2,50,2,-0.4190874695777893,0.9701199563794982,0.8992699692546162,0.8535473584066255,0.9779164453885643,0.6183501856099121,0.9066323362577534
0.001,0.0001,8192,dot,1,128,2,50,2,-0.4508695602416992,0.9694625407166124,0.8855847316358467,0.8300068050200816,0.9810054876969375,0.6371356565497573,0.895762943202599
0.001,0.0001,8192,dot,1,64,3,50,2,-0.4101373255252838,0.9707833515085422,0.897700552867739,0.8314187184739495,0.9784386617100372,0.6143270107036527,0.904458480376516
0.001,0.0001,8192,dot,1,128,3,50,2,-0.3946642279624939,0.9754875159467832,0.9110515369980144,0.8660945047163846,0.9865197380067268,0.6325173063137965,0.9131942233904083
0.001,0.0001,8192,dot,1,64,4,50,2,-0.4011339247226715,0.9726002540373798,0.9049545406397853,0.8434681003188703,0.979704372455302,0.6176525075426302,0.9061323066931971
0.001,0.0001,8192,dot,1,128,4,50,2,-0.42422932386398315,0.9655263638022258,0.8978791733731232,0.8296917471505894,0.9762317814362425,0.619731529833736,0.9026282630096873
0.0001,0.0005,8192,dot,1,64,2,50,2,-0.435269296169281,0.9636437908496732,0.8847444597272291,0.8120551985926387,0.9708975039830059,0.6084108496739522,0.8921866403543507
0.0001,0.0005,8192,dot,1,128,2,50,2,-0.4141620397567749,0.9685195227765726,0.8961823342985291,0.8217223120303312,0.9791556027615507,0.6050013662476129,0.8996644245202234
0.0001,0.0005,8192,dot,1,64,3,50,2,-0.42629188630315995,0.9651212797170474,0.8894761226665474,0.8172827519149878,0.9751618491262677,0.6013968942798371,0.8930308845904253
0.0001,0.0005,8192,dot,1,128,3,50,2,-0.45523500442504883,0.9655712475104111,0.8756509758312571,0.8330100241411978,0.9799787573021773,0.6272858903865371,0.8798632641216777
0.0001,0.0005,8192,dot,1,64,4,50,2,-0.4768469035625458,0.9589178901576944,0.8659655412590719,0.8430240173469062,0.971773765268189,0.614233913497121,0.8678743050124642
