1_Lr,1_Wd,1_batchSize,1_decoder,1_featType,1_hiddenDim,1_numLayers,1_numOfEpoch,1_numOfHeads,2_valLossNeg,2_valMRRRandom,2_valRocAucRandom,3_testMRR2hop,3_testMRRRandom,3_testRocAuc2hop,3_testRocAucRandom
0.0005,0.0002,8192,dot,3,64,3,,2,-0.3906794543619509,0.9813664117015567,0.9032290549339951,0.9024983351457063,0.9915029208709506,0.6696082735957672,0.9091042185751733
0.0001,0.0001,8192,dot,1,64,2,,2,-0.4792744517326355,0.9631940676433352,0.8667657144594132,0.8008410675298621,0.976013453708621,0.594998978151918,0.8772628146109496
0.0001,0.0001,8192,dot,1,64,2,50,2,-0.5102679133415222,0.9447056679424093,0.8480690259581843,0.7937513554481158,0.9598291733050096,0.5769969816186374,0.8558016110699319
0.0001,0.0001,8192,dot,1,128,2,50,2,-0.478587226735221,0.9611373641907992,0.8701948847425276,0.8109482974392692,0.9731924740156286,0.5962141740581822,0.8739898825775697
0.0001,0.0001,8192,dot,1,64,3,50,2,-0.5521315435568492,0.9584561910512999,0.8637265283755571,0.7996487838296124,0.9626925119490175,0.5987677548783611,0.8679156530964974
0.0001,0.0001,8192,dot,1,128,3,50,2,-1.408178687095642,0.6281787209695456,0.5025017859857438,0.49183010592994664,0.3224386989655179,0.45303439277582247,0.24629341299587
0.0001,0.0001,8192,dot,1,64,4,50,2,-0.6613371637132432,0.9510213978299085,0.8606455393173738,0.8275837906414115,0.9617786333864401,0.6220997383976264,0.8625071138139949
0.0001,0.0001,8192,dot,1,128,4,50,2,-1.8783259391784668,0.7690002078299951,0.5521243996642284,0.6332480023664304,0.7655748172875096,0.4508065191085102,0.5504629729518707
0.0005,0.0001,8192,dot,1,64,2,50,2,-0.4818531274795532,0.9571973827699018,0.8700609994235525,0.7951934181355318,0.9719861922464152,0.6064607139441406,0.8786419678553015
0.0005,0.0001,8192,dot,1,128,2,50,2,-0.488582968711853,0.948131010705861,0.8603718084049212,0.8199125003161115,0.9751371924234378,0.602597143908213,0.8809365074318125
0.0005,0.0001,8192,dot,1,64,3,50,2,-0.41627568006515503,0.9750542299349241,0.8953333676701554,0.8654502693270617,0.9881129403434236,0.6341021440499288,0.8986140131439031
0.0005,0.0001,8192,dot,1,128,3,50,2,-0.4583262801170349,0.9733532392327181,0.8818652431231319,0.8452697255538467,0.9811205523101433,0.6219056806268523,0.8875358598818593
0.0005,0.0001,8192,dot,1,64,4,50,2,-0.4389950633049011,0.9743100944081335,0.8929948645353663,0.8649099484335809,0.9844662772172066,0.6397390681266265,0.8983892543272254
0.0005,0.0001,8192,dot,1,128,4,50,2,-0.4929197132587433,0.9655047204066812,0.8784115139289226,0.8479728818417082,0.9781554257390689,0.6328665078732595,0.8854137502459314
0.001,0.0001,8192,dot,1,64,2,50,2,-0.4779421389102936,0.9542119565217392,0.8648519785771357,0.830626996771447,0.9776066560453178,0.6170540709191255,0.8851774481467305
0.001,0.0001,8192,dot,1,128,2,50,2,-0.4805477559566498,0.9517279210093254,0.865489700181041,0.8187260473638593,0.9663265306122449,0.6054904107043241,0.8715241013395592
0.001,0.0001,8192,dot,1,64,3,50,2,-0.4466869831085205,0.9693068408637272,0.8837947191635614,0.8404445468970164,0.9797928836962294,0.6268383493820685,0.8905002119495709
0.001,0.0001,8192,dot,1,128,3,50,2,-0.43097051978111267,0.9683751363140676,0.8891518338205986,0.8592169897135379,0.9829615861214375,0.6362553719241745,0.8964028228573763
0.001,0.0001,8192,dot,1,64,4,50,2,-0.460592657327652,0.970912547528517,0.8882083690158256,0.8500925153208743,0.9821384315808108,0.6262458685399254,0.8897875811307254
0.001,0.0001,8192,dot,1,128,4,50,2,-0.48558753728866577,0.9727668845315904,0.8820765464146717,0.8534970561391167,0.9757390688617454,0.6311900834548541,0.8866788445228286
0.0001,0.0005,8192,dot,1,64,2,50,2,-0.49418339133262634,0.9540738728951655,0.8643438229913755,0.7912475027185595,0.9665516020534609,0.5901155726278492,0.8723999565325785
0.0001,0.0005,8192,dot,1,128,2,50,2,-0.4952647338310877,0.9587806283357594,0.8649459587320217,0.804544851059721,0.9703310320410692,0.6005051519681056,0.8754851152953963
0.0001,0.0005,8192,dot,1,64,3,50,2,-0.521601054403517,0.9580004180903362,0.8677662020529173,0.813509850036669,0.9711984211280548,0.6061411570706163,0.8703674513395185
0.0001,0.0005,8192,dot,1,128,3,50,2,-0.5468031112794524,0.9549760299668925,0.8610212512221705,0.8071168549394784,0.9641361583873532,0.5968268827382713,0.8637828524915988
0.0001,0.0005,8192,dot,1,64,4,50,2,-1.2458456291092768,0.7978025955224652,0.6757379830017944,0.6938236108907909,0.7725455277300737,0.5465298965018413,0.6733496153654257
0.0001,0.0005,8192,dot,1,128,4,50,2,-1.4484338760375977,0.6100984248549893,0.5476071091184197,0.5279799359193943,0.5165146840531865,0.46278126634234396,0.5476516096582391
0.0005,0.0005,8192,dot,1,64,2,50,2,-0.47314417362213135,0.9598262757871878,0.8710471319917273,0.8318031617288123,0.975792175606302,0.6090318851789571,0.8746462557186543
0.0005,0.0005,8192,dot,1,128,2,50,2,-0.4815270006656647,0.952392694063927,0.8647172141633301,0.7978462264707618,0.9640555850593024,0.590348046627001,0.8677010752133215
0.0005,0.0005,8192,dot,1,64,3,50,2,-0.43079839812384707,0.9717898544877485,0.8907550309994466,0.8550330538248755,0.9806219389862513,0.629895175265348,0.8918448250187456
0.0005,0.0005,8192,dot,1,128,3,50,2,-0.4849547743797302,0.9620461147421931,0.8734374963922281,0.8470797612725388,0.976933970614268,0.6466331684559181,0.88746226713999
0.0005,0.0005,8192,dot,1,64,4,50,2,-0.42240652441978455,0.9736865942028986,0.8984065300627645,0.8722677422889851,0.9899893786510887,0.6443709397125916,0.9028074198183009
0.0005,0.0005,8192,dot,1,128,4,50,2,-0.6723986864089966,0.9376728529839883,0.8405255373708657,0.777924242807408,0.9402976928069866,0.5782898666647003,0.8355468373593988
0.001,0.0005,8192,dot,1,64,2,50,2,-0.4992934465408325,0.9534748684449283,0.8559572372062104,0.7949049136383177,0.9674986723313862,0.5964016840659448,0.875787261147021
0.001,0.0005,8192,dot,1,128,2,50,2,-0.44267088174819946,0.9671573973100691,0.8844180324207017,0.8478757302177377,0.9789343246592317,0.6283219273262957,0.888604964355526
0.001,0.0005,8192,dot,1,64,3,50,2,-0.43895354866981506,0.964214077315828,0.8863498683554362,0.8635407446745735,0.9848645778013808,0.6245981627841586,0.8882905998012455
0.001,0.0005,8192,dot,1,128,3,50,2,-0.4561772048473358,0.964032697547684,0.880874533011506,0.8545379061842152,0.9782704903522746,0.6404469918641639,0.8892347781643642
0.001,0.0005,8192,dot,1,64,4,50,2,-0.43900182843208313,0.9717375997496479,0.8925737225370084,0.8831474597273854,0.9870242520800141,0.6695709353542256,0.9065351088463208
